id,dataset,label,subtype,subject,body,style,sender_type,difficulty,ner_organizations,ner_people,ner_locations,ner_job_titles,ner_dates,ner_urls
JOB-00001,job_search,rejection,other_candidates,Regarding your application,"Thank you for speaking with our team about the Customer Success Manager role. Unfortunately, we will not be progressing your application to the next stage.",human,hr,hard,,,,Customer Success Manager,,
JOB-00002,job_search,acceptance_progression,assessment,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,automated,hiring_manager,adversarial,,,,,,
JOB-00003,job_search,application_notification,application_under_review,Application received — Frontend Developer,"Thank you for your interest in the Frontend Developer position at Pinecrest Media. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.

Best regards,
Daniel Wilson",human,recruiter,hard,Pinecrest Media,Daniel Wilson,,Frontend Developer,,
JOB-00004,job_search,acceptance_progression,offer,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Project Coordinator role.,automated,ats,medium,,,,Project Coordinator,,
JOB-00005,job_search,acceptance_progression,final_interview,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Content Strategist role.,semi_automated,ats,easy,,,,Content Strategist,,
JOB-00006,job_search,rejection,other_candidates,Update on your Operations Specialist application,"Thank you for applying for the Operations Specialist position at BluePeak Analytics. After careful consideration, we have decided not to move forward with your application at this time.",automated,hr,adversarial,BluePeak Analytics,,,Operations Specialist,,
JOB-00007,job_search,acceptance_progression,assessment,Next step in your application,"Hello Jamie,

We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.

The interview team is based in London.

Best regards,
Jamie Andersson",automated,hiring_manager,easy,,Jamie Andersson,London,,,
JOB-00008,job_search,acceptance_progression,move_forward,Interview invitation — Product Manager,We have reviewed your application for the Product Manager position at Lighthouse Cloud and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,automated,company,hard,Lighthouse Cloud,,,Product Manager,,https://example.test/schedule
JOB-00009,job_search,rejection,generic_automated_rejection,Application outcome,The review for the Software Engineer position is now complete. We will be moving forward with another candidate. Thank you for your interest in Northstar Technologies.,automated,ats,hard,Northstar Technologies,,,Software Engineer,,
JOB-00010,job_search,rejection,post_application_review,Application outcome,The review for the Frontend Developer position is now complete. We will be moving forward with another candidate. Thank you for your interest in Atlas Software.,human,recruiter,medium,Atlas Software,,,Frontend Developer,,
JOB-00011,job_search,rejection,other_candidates,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.

Best regards,
Casey Miller",automated,company,easy,,Casey Miller,,,,
JOB-00012,job_search,rejection,post_final_interview,Update on your Product Manager application,"Thank you for applying for the Product Manager position at Redwood Solutions. After careful consideration, we have decided not to move forward with your application at this time.",human,hiring_manager,hard,Redwood Solutions,,,Product Manager,,
JOB-00013,job_search,application_notification,application_submitted,Application received — Product Manager,Thank you for your interest in the Product Manager position at Summit Retail. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,automated,hiring_manager,easy,Summit Retail,,,Product Manager,,
JOB-00014,job_search,rejection,generic_automated_rejection,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",automated,company,adversarial,,,,,,
JOB-00015,job_search,rejection,generic_automated_rejection,Update on your Business Analyst application,"Thank you for applying for the Business Analyst position at Oakridge Financial. After careful consideration, we have decided not to move forward with your application at this time.",semi_automated,ats,medium,Oakridge Financial,,,Business Analyst,,
JOB-00016,job_search,rejection,post_application_review,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,recruiter,medium,,,,,,
JOB-00017,job_search,acceptance_progression,second_interview,Offer from Meridian Health,"We are pleased to offer you the Data Analyst position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",semi_automated,ats,adversarial,Meridian Health,,,Data Analyst,,https://example.test/offer.
JOB-00018,job_search,acceptance_progression,move_forward,Offer from Pinecrest Media,"We are pleased to offer you the Data Analyst position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",automated,recruiter,medium,Pinecrest Media,,,Data Analyst,,https://example.test/offer.
JOB-00019,job_search,acceptance_progression,recruiter_screen,Assessment invitation,"We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Project Coordinator role.

Best regards,
Emma Evans",semi_automated,recruiter,hard,,Emma Evans,,Project Coordinator,,
JOB-00020,job_search,rejection,other_candidates,Application outcome,"The review for the Marketing Manager position is now complete. We will be moving forward with another candidate. Thank you for your interest in Horizon Labs.

Best regards,
Daniel Davis",automated,hiring_manager,hard,Horizon Labs,Daniel Davis,,Marketing Manager,,
JOB-00021,job_search,application_notification,application_received,Thanks for applying to Vertex Consulting,We appreciate your interest in the DevOps Engineer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time. Please note that this message is only a confirmation that we received your application.,automated,ats,medium,Vertex Consulting,,,DevOps Engineer,,
JOB-00022,job_search,acceptance_progression,assessment,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Product Manager role.,semi_automated,hiring_manager,easy,,,,Product Manager,,
JOB-00023,job_search,application_notification,application_recommended_jobs,Application received — Business Analyst,Thank you for your interest in the Business Analyst position at Meridian Health. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step. Please note that this message is only a confirmation that we received your application.,human,ats,medium,Meridian Health,,,Business Analyst,,
JOB-00024,job_search,rejection,generic_automated_rejection,Regarding your application,"Thank you for speaking with our team about the Financial Analyst role. Unfortunately, we will not be progressing your application to the next stage.",semi_automated,company,hard,,,,Financial Analyst,,
JOB-00025,job_search,acceptance_progression,availability_request,Offer from Redwood Solutions,"Hello Morgan,

We are pleased to offer you the Product Manager position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

The interview team is based in Paris.",automated,company,medium,Redwood Solutions,,Paris,Product Manager,,https://example.test/offer.
JOB-00026,job_search,rejection,post_final_interview,Update on your Financial Analyst application,"Thank you for applying for the Financial Analyst position at Meridian Health. After careful consideration, we have will not be progressing with your application at this time.",automated,hiring_manager,medium,Meridian Health,,,Financial Analyst,,
JOB-00027,job_search,rejection,personalized_recruiter,Update on your Machine Learning Engineer application,"Thank you for applying for the Machine Learning Engineer position at Redwood Solutions. After careful consideration, we have decided not to move forward with your application at this time.",automated,hr,medium,Redwood Solutions,,,Machine Learning Engineer,,
JOB-00028,job_search,acceptance_progression,assessment,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,semi_automated,hiring_manager,easy,,,,,,
JOB-00029,job_search,rejection,post_interview,Regarding your application,"Thank you for speaking with our team about the Machine Learning Engineer role. Unfortunately, we will not be progressing your application to the next stage.",human,hiring_manager,hard,,,,Machine Learning Engineer,,
JOB-00030,job_search,rejection,other_candidates,Regarding your application,"Thank you for speaking with our team about the Software Engineer role. Unfortunately, we will not be progressing your application to the next stage.",semi_automated,hiring_manager,easy,,,,Software Engineer,,
JOB-00031,job_search,rejection,different_direction,Application outcome,The review for the Marketing Manager position is now complete. We will be moving forward with another candidate. Thank you for your interest in Meridian Health.,automated,company,easy,Meridian Health,,,Marketing Manager,,
JOB-00032,job_search,application_notification,application_submitted,Your application has been submitted,"Your application for UX Designer at Cedar Digital was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.

Best regards,
Casey Brown",human,ats,hard,Cedar Digital,Casey Brown,,UX Designer,,
JOB-00033,job_search,acceptance_progression,recruiter_screen,Next step in your application,"Hello Jamie,

We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.

The interview team is based in Amsterdam.

Best regards,
Jamie Khan",automated,hr,medium,,Jamie Khan,Amsterdam,,,
JOB-00034,job_search,rejection,post_application_review,Application outcome,The review for the Machine Learning Engineer position is now complete. We will be moving forward with another candidate. Thank you for your interest in Summit Retail.,automated,hr,medium,Summit Retail,,,Machine Learning Engineer,,
JOB-00035,job_search,rejection,post_interview,Update on your Business Analyst application,"Thank you for applying for the Business Analyst position at Oakridge Financial. After careful consideration, we have decided not to move forward with your application at this time.",semi_automated,ats,medium,Oakridge Financial,,,Business Analyst,,
JOB-00036,job_search,application_notification,application_recommended_jobs,Thanks for applying to Vertex Consulting,"We appreciate your interest in the Business Analyst opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time. Please note that this message is only a confirmation that we received your application.

Best regards,
Robin Berg",semi_automated,ats,easy,Vertex Consulting,Robin Berg,,Business Analyst,,
